"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"22:53:33,5969617","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xd69ec4b3.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5970840","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x5ca79d9d.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5971704","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x978f8a03.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5972646","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x2df3fe61.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5973655","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x8d910275.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1532533","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x925c42e7.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1533925","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x57de8cc4.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1535313","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x7b11ae98.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1536284","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xdd1f3ddf.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1537256","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x4d4b3561.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1538125","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xa2a6b5fe.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1539090","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xdac4fe3d.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
